340,483,0.12,-1,2006,5,-1,2,1,1,15,2,2,0,5,5,0,1,0,0,0,0,0,0,-1,-1,0,0,0,4,2,6,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
341,483,0.12,-1,2006,5,-1,-1,0,4,-1,2,2,0,5,5,0,1,0,0,0,0,0,0,-1,-1,0,0,0,4,2,6,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
709,894,0.52,1.10498618,2004,4,-1,2,1,1,18,1,1,0,5,5,0,0,1,0,0,1,1,0,-1,-1,0,0,1,5,5,6,0,0,0,0,0,0,6550,22.38,24.79,6.93,2.733,22.99,15.5,2,4.607
712,894,0.52,1.055856515,2006,4,-1,2,1,1,18,1,1,0,5,5,0,0,1,0,0,1,1,0,-1,-1,0,0,1,5,5,6,0,0,0,0,0,0,6550,22.38,24.79,6.93,2.733,22.99,15.5,2,4.607
1420,1682,0.52,-1,2004,1,-1,1,1,3,29,1,1,0,5,5,0,0,1,0,0,0,0,0,-1,-1,0,0,0,8,5,6,0,0,0,0,0,0,900,7.323,7.205,10.8,-1,-1,15.5,-1,-1
1477,1723,0.52,1.10498618,2004,4,-1,1,1,3,20,1,1,0,5,5,0,0,1,0,0,1,1,0,-1,-1,0,0,1,1,1,6,0,0,0,0,0,0,3950,15.27,14.43,6.36,1.435,14.47,15.5,2,2.94
1508,1763,0.76,1.420586627,2004,4,-1,4,0,3,12,2,2,0,5,5,0,0,0,0,0,0,1,0,-1,-1,0,0,1,4,2,1,0,0,1,1,0,0,10630,14.97,15.25,13.8,6,20.94,15.5,1,6
1873,2084,0.28,1.10498618,2004,4,-1,2,1,1,15,1,1,0,5,5,0,0,1,0,0,1,1,0,-1,-1,0,0,1,5,5,1,0,1,0,0,0,0,6950,25.71,20.57,8.22,0.811,17,15.5,2,2.847
1972,2174,0.25,1.385819975,2004,3,-1,1,1,3,21,3,3,0,5,5,0,1,0,0,0,1,2,1,1,-1,0,1,1,5,3,6,1,1,1,0,0,0,4820,16.63,12.49,11.28,2.143,10.75,15.5,2.2,8.82
1975,2174,0.25,1.233002153,2006,3,0,1,1,3,21,3,3,0,5,5,0,1,0,0,0,0,-1,0,-1,-1,0,0,0,5,-1,6,1,1,1,1,0,0,4820,16.63,12.49,11.28,2.143,10.75,15.5,2.2,8.82
1994,2199,0.66,1.205588244,2004,3,-1,1,1,3,14,1,2,0,5,5,0,1,0,0,0,1,2,1,1,-1,0,1,0,2,1,6,0,0,0,0,0,0,22390,31.18,31.86,12.6,0.556,23.22,31,2,6.56
2086,2290,0.71,1.098801766,2004,4,-1,1,1,3,24,3,1,0,5,5,0,0,1,0,0,0,0,0,-1,-1,0,0,1,3,2,6,0,0,0,0,0,0,13970,21.28,18.37,14.4,7.5,12,23.25,1,7.5
